country_code,country,year,indicator_code,value,indicator_name
BDI,Burundi,2024,SP.POP.TOTL,14047786,population
BDI,Burundi,2023,SP.POP.TOTL,13689450,population
BDI,Burundi,2022,SP.POP.TOTL,13321097,population
BDI,Burundi,2021,SP.POP.TOTL,12965481,population
BDI,Burundi,2020,SP.POP.TOTL,12617036,population
BDI,Burundi,2019,SP.POP.TOTL,12255336,population
BDI,Burundi,2018,SP.POP.TOTL,11859446,population
BDI,Burundi,2017,SP.POP.TOTL,11506762,population
BDI,Burundi,2016,SP.POP.TOTL,11239451,population
BDI,Burundi,2015,SP.POP.TOTL,11047580,population
BDI,Burundi,2014,SP.POP.TOTL,10799785,population
BDI,Burundi,2013,SP.POP.TOTL,10439341,population
BDI,Burundi,2012,SP.POP.TOTL,10071028,population
BDI,Burundi,2011,SP.POP.TOTL,9717978,population
BDI,Burundi,2010,SP.POP.TOTL,9376444,population
COD,"Congo, Dem. Rep.",2024,SP.POP.TOTL,109276265,population
COD,"Congo, Dem. Rep.",2023,SP.POP.TOTL,105789731,population
COD,"Congo, Dem. Rep.",2022,SP.POP.TOTL,102396968,population
COD,"Congo, Dem. Rep.",2021,SP.POP.TOTL,99148932,population
COD,"Congo, Dem. Rep.",2020,SP.POP.TOTL,95989998,population
COD,"Congo, Dem. Rep.",2019,SP.POP.TOTL,92947442,population
COD,"Congo, Dem. Rep.",2018,SP.POP.TOTL,90047644,population
COD,"Congo, Dem. Rep.",2017,SP.POP.TOTL,87083398,population
COD,"Congo, Dem. Rep.",2016,SP.POP.TOTL,83956415,population
COD,"Congo, Dem. Rep.",2015,SP.POP.TOTL,81035531,population
COD,"Congo, Dem. Rep.",2014,SP.POP.TOTL,78403242,population
COD,"Congo, Dem. Rep.",2013,SP.POP.TOTL,75789395,population
COD,"Congo, Dem. Rep.",2012,SP.POP.TOTL,73254618,population
COD,"Congo, Dem. Rep.",2011,SP.POP.TOTL,70849311,population
COD,"Congo, Dem. Rep.",2010,SP.POP.TOTL,68563038,population
KEN,Kenya,2024,SP.POP.TOTL,56432944,population
KEN,Kenya,2023,SP.POP.TOTL,55339003,population
KEN,Kenya,2022,SP.POP.TOTL,54252461,population
KEN,Kenya,2021,SP.POP.TOTL,53219166,population
KEN,Kenya,2020,SP.POP.TOTL,52217334,population
KEN,Kenya,2019,SP.POP.TOTL,51202827,population
KEN,Kenya,2018,SP.POP.TOTL,50207107,population
KEN,Kenya,2017,SP.POP.TOTL,49197766,population
KEN,Kenya,2016,SP.POP.TOTL,48139687,population
KEN,Kenya,2015,SP.POP.TOTL,47088526,population
KEN,Kenya,2014,SP.POP.TOTL,46051440,population
KEN,Kenya,2013,SP.POP.TOTL,44986791,population
KEN,Kenya,2012,SP.POP.TOTL,43888303,population
KEN,Kenya,2011,SP.POP.TOTL,42758461,population
KEN,Kenya,2010,SP.POP.TOTL,41598567,population
RWA,Rwanda,2024,SP.POP.TOTL,14256567,population
RWA,Rwanda,2023,SP.POP.TOTL,13954471,population
RWA,Rwanda,2022,SP.POP.TOTL,13651030,population
RWA,Rwanda,2021,SP.POP.TOTL,13355260,population
RWA,Rwanda,2020,SP.POP.TOTL,13065837,population
RWA,Rwanda,2019,SP.POP.TOTL,12776103,population
RWA,Rwanda,2018,SP.POP.TOTL,12487996,population
RWA,Rwanda,2017,SP.POP.TOTL,12202060,population
RWA,Rwanda,2016,SP.POP.TOTL,11919183,population
RWA,Rwanda,2015,SP.POP.TOTL,11640022,population
RWA,Rwanda,2014,SP.POP.TOTL,11364757,population
RWA,Rwanda,2013,SP.POP.TOTL,11093340,population
RWA,Rwanda,2012,SP.POP.TOTL,10829901,population
RWA,Rwanda,2011,SP.POP.TOTL,10573733,population
RWA,Rwanda,2010,SP.POP.TOTL,10317553,population
SOM,"Somalia, Fed. Rep.",2024,SP.POP.TOTL,19009151,population
SOM,"Somalia, Fed. Rep.",2023,SP.POP.TOTL,18358615,population
SOM,"Somalia, Fed. Rep.",2022,SP.POP.TOTL,17801897,population
SOM,"Somalia, Fed. Rep.",2021,SP.POP.TOTL,17271431,population
SOM,"Somalia, Fed. Rep.",2020,SP.POP.TOTL,16651191,population
SOM,"Somalia, Fed. Rep.",2019,SP.POP.TOTL,16030971,population
SOM,"Somalia, Fed. Rep.",2018,SP.POP.TOTL,15452487,population
SOM,"Somalia, Fed. Rep.",2017,SP.POP.TOTL,14916629,population
SOM,"Somalia, Fed. Rep.",2016,SP.POP.TOTL,14348740,population
SOM,"Somalia, Fed. Rep.",2015,SP.POP.TOTL,13806963,population
SOM,"Somalia, Fed. Rep.",2014,SP.POP.TOTL,13339491,population
SOM,"Somalia, Fed. Rep.",2013,SP.POP.TOTL,12869594,population
SOM,"Somalia, Fed. Rep.",2012,SP.POP.TOTL,12461160,population
SOM,"Somalia, Fed. Rep.",2011,SP.POP.TOTL,12348830,population
SOM,"Somalia, Fed. Rep.",2010,SP.POP.TOTL,12261756,population
SSD,South Sudan,2024,SP.POP.TOTL,11943408,population
SSD,South Sudan,2023,SP.POP.TOTL,11483374,population
SSD,South Sudan,2022,SP.POP.TOTL,11021177,population
